Index,Rule,Decision,Support,Length
18,"early_uptake_in=2, block_of_affere=2, changes_in_stru=2, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=3",2,0.012345679012345678,6
19,"early_uptake_in=2, block_of_affere=1, changes_in_stru=4, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=4",3,0.012345679012345678,6
20,"early_uptake_in=2, block_of_affere=1, changes_in_node=4, lym_nodes_enlar=3, defect_in_node=3",3,0.012345679012345678,5
21,"early_uptake_in=2, block_of_affere=2, changes_in_node=3, lym_nodes_enlar=4, defect_in_node=4",2,0.012345679012345678,5
22,"lym_nodes_enlar=1, early_uptake_in=2, block_of_affere=1",3,0.012345679012345678,3
23,"lym_nodes_enlar=3, early_uptake_in=1, block_of_affere=1",3,0.012345679012345678,3
24,"early_uptake_in=1, block_of_affere=1, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=4",3,0.012345679012345678,5
25,"early_uptake_in=2, block_of_affere=1, changes_in_stru=8, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=3",3,0.012345679012345678,6
26,"early_uptake_in=1, block_of_affere=1, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=2",2,0.012345679012345678,6
27,"lym_nodes_enlar=1, early_uptake_in=1, block_of_affere=2",2,0.012345679012345678,3
28,"early_uptake_in=2, block_of_affere=2, changes_in_stru=8, changes_in_node=3, lym_nodes_enlar=3, no_of_nodes_in=2, defect_in_node=3",2,0.012345679012345678,7
29,"early_uptake_in=1, block_of_affere=1, changes_in_stru=5, changes_in_node=2, lym_nodes_enlar=1, defect_in_node=4",4,0.012345679012345678,6
30,"early_uptake_in=2, block_of_affere=1, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=2",3,0.012345679012345678,5
31,"early_uptake_in=2, block_of_affere=1, changes_in_node=1, lym_nodes_enlar=2, defect_in_node=2",3,0.012345679012345678,5
32,"early_uptake_in=2, block_of_affere=1, changes_in_stru=3, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=3",3,0.012345679012345678,6
33,"lym_nodes_enlar=4, defect_in_node=2, early_uptake_in=2, block_of_affere=2",3,0.012345679012345678,4
34,"early_uptake_in=1, block_of_affere=2, changes_in_stru=4, changes_in_node=2, lym_nodes_enlar=2, no_of_nodes_in=7, defect_in_node=4",4,0.012345679012345678,7
35,"early_uptake_in=2, block_of_affere=1, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=2",3,0.012345679012345678,6
36,"early_uptake_in=1, block_of_affere=1, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=1, defect_in_node=4",2,0.012345679012345678,6
37,"lym_nodes_enlar=2, defect_in_node=3, early_uptake_in=1, block_of_affere=2",2,0.012345679012345678,4
38,"early_uptake_in=2, block_of_affere=2, changes_in_stru=8, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=4",2,0.012345679012345678,6
39,"early_uptake_in=1, block_of_affere=1, changes_in_node=2, lym_nodes_enlar=1, defect_in_node=2",2,0.012345679012345678,5
40,"early_uptake_in=2, block_of_affere=2, changes_in_node=4, lym_nodes_enlar=4, defect_in_node=4",3,0.012345679012345678,5
41,"early_uptake_in=1, block_of_affere=1, changes_in_stru=3, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=2",3,0.012345679012345678,6
42,"early_uptake_in=2, block_of_affere=1, changes_in_stru=6, changes_in_node=2, lym_nodes_enlar=3, defect_in_node=2",3,0.012345679012345678,6
43,"early_uptake_in=2, block_of_affere=2, changes_in_stru=4, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=3",2,0.012345679012345678,6
44,"early_uptake_in=1, block_of_affere=1, changes_in_stru=5, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=2",3,0.012345679012345678,6
45,"early_uptake_in=1, block_of_affere=1, changes_in_stru=3, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=2",3,0.012345679012345678,6
46,"early_uptake_in=2, block_of_affere=1, changes_in_stru=5, changes_in_node=3, lym_nodes_enlar=2, no_of_nodes_in=1, defect_in_node=3",2,0.012345679012345678,7
47,"early_uptake_in=1, block_of_affere=1, changes_in_stru=1, changes_in_node=1, lym_nodes_enlar=1, defect_in_node=1",1,0.012345679012345678,6
48,"early_uptake_in=2, block_of_affere=2, changes_in_node=4, lym_nodes_enlar=3, defect_in_node=2",3,0.012345679012345678,5
49,"early_uptake_in=2, block_of_affere=2, changes_in_node=4, lym_nodes_enlar=3, defect_in_node=3",3,0.012345679012345678,5
50,"lym_nodes_enlar=4, early_uptake_in=1, block_of_affere=2",2,0.012345679012345678,3
51,"early_uptake_in=2, block_of_affere=1, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=3, no_of_nodes_in=5, defect_in_node=2",3,0.012345679012345678,7
52,"early_uptake_in=2, block_of_affere=2, changes_in_node=4, lym_nodes_enlar=3, defect_in_node=4",3,0.012345679012345678,5
53,"early_uptake_in=1, block_of_affere=2, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=4",2,0.012345679012345678,6
54,"early_uptake_in=2, block_of_affere=2, changes_in_node=2, lym_nodes_enlar=3, defect_in_node=4",3,0.012345679012345678,5
55,"early_uptake_in=2, block_of_affere=1, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=3, no_of_nodes_in=1, defect_in_node=2",2,0.012345679012345678,7
56,"early_uptake_in=2, block_of_affere=2, changes_in_node=1, lym_nodes_enlar=1, defect_in_node=2",3,0.012345679012345678,5
57,"early_uptake_in=1, block_of_affere=1, changes_in_node=3, lym_nodes_enlar=1, defect_in_node=2",2,0.012345679012345678,5
58,"early_uptake_in=2, block_of_affere=1, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=4",3,0.012345679012345678,6
59,"early_uptake_in=1, block_of_affere=2, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=4",2,0.012345679012345678,5
60,"early_uptake_in=2, block_of_affere=1, changes_in_stru=4, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=2",2,0.012345679012345678,6
61,"early_uptake_in=2, block_of_affere=1, changes_in_stru=4, changes_in_node=2, lym_nodes_enlar=3, no_of_nodes_in=2, defect_in_node=2",2,0.012345679012345678,7
62,"early_uptake_in=2, block_of_affere=2, changes_in_stru=7, changes_in_node=2, lym_nodes_enlar=4, defect_in_node=4",3,0.012345679012345678,6
63,"early_uptake_in=1, block_of_affere=2, changes_in_stru=4, changes_in_node=2, lym_nodes_enlar=2, no_of_nodes_in=1, defect_in_node=4",2,0.012345679012345678,7
64,"lym_nodes_enlar=2, defect_in_node=3, early_uptake_in=1, block_of_affere=1",2,0.012345679012345678,4
65,"early_uptake_in=2, block_of_affere=1, changes_in_node=4, lym_nodes_enlar=2, defect_in_node=4",3,0.012345679012345678,5
66,"early_uptake_in=2, block_of_affere=1, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=4",3,0.012345679012345678,5
67,"early_uptake_in=2, block_of_affere=1, changes_in_node=4, lym_nodes_enlar=3, defect_in_node=2",3,0.012345679012345678,5
68,"early_uptake_in=2, block_of_affere=1, changes_in_stru=4, changes_in_node=2, lym_nodes_enlar=3, no_of_nodes_in=5, defect_in_node=2",3,0.012345679012345678,7
69,"early_uptake_in=1, block_of_affere=1, changes_in_node=3, lym_nodes_enlar=1, defect_in_node=4",2,0.012345679012345678,5
70,"early_uptake_in=1, block_of_affere=1, changes_in_stru=8, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=2",2,0.012345679012345678,6
71,"early_uptake_in=2, block_of_affere=2, changes_in_stru=3, changes_in_node=3, lym_nodes_enlar=3, defect_in_node=3",2,0.012345679012345678,6
72,"early_uptake_in=2, block_of_affere=1, changes_in_node=4, lym_nodes_enlar=2, defect_in_node=2",3,0.012345679012345678,5
73,"early_uptake_in=2, block_of_affere=2, changes_in_stru=8, changes_in_node=2, lym_nodes_enlar=4, defect_in_node=4",2,0.012345679012345678,6
74,"early_uptake_in=2, block_of_affere=2, changes_in_node=4, lym_nodes_enlar=2, defect_in_node=4",2,0.012345679012345678,5
75,"lym_nodes_enlar=2, defect_in_node=1, early_uptake_in=2, block_of_affere=1",1,0.012345679012345678,4
76,"early_uptake_in=2, block_of_affere=1, changes_in_stru=4, changes_in_node=2, lym_nodes_enlar=3, no_of_nodes_in=6, defect_in_node=2",3,0.012345679012345678,7
77,"early_uptake_in=1, block_of_affere=1, changes_in_node=1, lym_nodes_enlar=1, defect_in_node=2",4,0.012345679012345678,5
78,"early_uptake_in=2, block_of_affere=2, changes_in_stru=5, changes_in_node=3, lym_nodes_enlar=2, defect_in_node=4",3,0.012345679012345678,6
79,"early_uptake_in=1, block_of_affere=1, changes_in_stru=3, changes_in_node=1, lym_nodes_enlar=1, defect_in_node=1",2,0.012345679012345678,6
80,"early_uptake_in=2, block_of_affere=2, changes_in_stru=8, changes_in_node=3, lym_nodes_enlar=3, no_of_nodes_in=4, defect_in_node=3",3,0.012345679012345678,7
81,"early_uptake_in=2, block_of_affere=1, changes_in_stru=2, changes_in_node=2, lym_nodes_enlar=2, defect_in_node=4",2,0.012345679012345678,6
